,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
gr_alpha,-2.1332610017336426,0.017690584241191208,0.8745074162470715,-3.815892486053889,-2.685401451885923,-2.138196206478649,-1.5385910575709545,-0.42253139006346596,2443.6704760506896,0.9982224070243078
gr_side,0.55438014804957,0.04269499049733381,0.6076208845389808,-0.6477273058219437,0.18593279133016338,0.5553334565836627,0.9574375196058059,1.7506592446836962,202.54034374072967,1.0315284578440564
gr_sigma,6.019189776211491,0.02568782027172221,1.0690449193119924,3.9875767977426033,5.279673153725991,6.026769170195713,6.785210709537157,8.02131758761786,1731.9581738820277,0.9998370039320488
gr_sd[1],11.167905603106654,0.036915104339318154,1.1102353939345169,8.98101685953424,10.446127325517239,11.148378925139738,11.902742711235334,13.443047244940583,904.5278355682414,1.0002760376344337
gr_sd[2],1.0154796026260215,0.31380504967745065,0.6899593015092087,0.03766573831489127,0.40353069617175813,1.0321685416908073,1.4486805563912521,2.416803213298189,4.8342275823099135,1.6890333331693663
gr_sd[3],15.33664133408668,0.036194471829964915,1.212954817911279,13.071503728087471,14.456606485193081,15.311622133384141,16.176808859861975,17.68024705956855,1123.0646582992927,1.0020061909354272
alpha[1],-6.213764385790667,0.15315634047676538,7.371581183459583,-21.061545873915286,-10.944336118101072,-6.238883438862203,-1.4881484823167095,8.27221877481354,2316.601558032885,1.0001177230289975
alpha[2],21.92282068132147,0.16353656102172914,7.472204168859312,8.033261743080534,16.822854813697592,21.91605608482218,27.00558985976743,36.91827369261452,2087.6983033311208,0.9991949708899381
alpha[3],-13.841953890569766,0.1864131693457388,8.242368047645705,-29.701209303216046,-19.426294987627003,-13.996153415336305,-8.32195875537706,2.9534305624903876,1955.018295278763,1.0000735205449829
alpha[4],-6.289097655295815,0.16772728515297775,8.397455384191916,-23.298161498422104,-11.435460307986101,-6.231836524569793,-0.7920648914535795,10.63475688506738,2506.616967922667,0.9999415664941584
alpha[5],1.3916811664126503,0.19319622145199644,8.193292429809349,-14.339201521460716,-3.9039375720785205,1.03408383694909,6.617309898237605,18.037076981442034,1798.5381526791284,0.9998568214409491
alpha[6],-17.06793474987773,0.18606089814321106,7.9284232194534665,-33.59130917533453,-22.252388855636134,-17.04700397401387,-11.819544779165378,-1.9782568581132591,1815.7808161569453,0.9994634680504914
