,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],0.2912302004039851,0.006998351642944597,0.31901269131212273,-0.3038538298746556,0.06975910323617572,0.2816809730207854,0.5015596488595626,0.9365759472969,2077.898841661413,1.0001417550510872
mu[2],0.26040821883748333,0.004579407185678252,0.20355150271288106,-0.14655550238748705,0.12365720114707243,0.2599986639793319,0.38811891090892264,0.688735570337317,1975.7414137909284,1.0014223425357618
sigma[1],1.4690061851069796,0.00885654879241034,0.30395307984498965,0.9875314569002585,1.258943850689953,1.4348031265559487,1.6271613449296198,2.1841265604332842,1177.8339204407248,1.0004321985211022
sigma[2],0.8604206610764837,0.005264343430491372,0.17858495684671086,0.5830672221718245,0.7291219510347549,0.8423302208287313,0.9625680254378381,1.2770695455618388,1150.8038842437127,1.0028569737737847
"beta[1,1]",1.0868186572255658,0.008074267915300288,0.38181221468158866,0.39393909793803755,0.8222258151405414,1.0734573297167813,1.3326634063336584,1.8473362545640164,2236.110826257137,0.9988230629147333
"beta[2,1]",-1.5195931847120674,0.010586421911269673,0.3871436864230787,-2.3315335540162203,-1.7527677557948254,-1.5032271492032203,-1.2596011034610206,-0.7896319753781529,1337.3527206093147,0.9997607702339721
"beta[3,1]",1.1545706519626149,0.006472371428066771,0.32511129477431855,0.5556003968357608,0.9245700450010391,1.1509991578670649,1.3709724281443432,1.784764908226805,2523.116195606549,0.9997123549656627
"beta[4,1]",2.417260864164599,0.011955146243093706,0.5061323824465422,1.5744574985529147,2.04444697423164,2.3851353682960665,2.722706411452387,3.5425114416898666,1792.3320168800992,0.9987801773852019
"beta[5,1]",-0.10164252723538701,0.007377768500196505,0.36673511999034314,-0.8261479002191954,-0.33362347766352984,-0.10628892740640414,0.14052749516858104,0.6220725273832626,2470.8987846761447,0.99888310305121
"beta[6,1]",-0.7399110367590157,0.00635697964035214,0.2923245810828035,-1.3171475641841894,-0.9352361570709619,-0.7439123679981893,-0.5401151780726882,-0.17294103362921098,2114.603910268145,0.9991409332098077
"beta[7,1]",0.7055708899184554,0.006327347451792715,0.3032154654865102,0.1243402581745712,0.4989401148666126,0.7011904248774561,0.9091185762056808,1.286818157479522,2296.4623549032603,1.0000690643729178
"beta[8,1]",0.015051013932712097,0.00711478071254324,0.34692610943578683,-0.6616285263087704,-0.21196936059401947,0.016480654978878254,0.254068568976973,0.6939233092962647,2377.6664704440104,1.0010499056581028
"beta[9,1]",-1.3832403372687736,0.007062134059552998,0.35009599466899227,-2.104047673441108,-1.6045191761375688,-1.3668320519280495,-1.1481820435587142,-0.7344880809474839,2457.550039125656,0.9991483461851766
"beta[10,1]",0.8925308144525033,0.005667676096393427,0.30133763792979357,0.30453715162939293,0.6812827217154224,0.8872876731070096,1.0957025994735476,1.4956361853058584,2826.810618595937,1.0003966814536733
"beta[11,1]",1.3809827941584487,0.00842530865900209,0.3810742511443702,0.6653608315749477,1.1056654613553527,1.3663400625632365,1.644577510214066,2.1498720692349447,2045.726493150284,0.9993334128808575
"beta[12,1]",-0.41664521056034587,0.006649857853827575,0.29373055982797064,-0.9818035039271921,-0.6141841240836665,-0.4158644497992986,-0.22129715887449763,0.16077807078538978,1951.0731036726147,0.9990771858082401
"beta[13,1]",1.8264148532639999,0.009540464814019439,0.4424116949578271,1.0428387275313333,1.5138362690828204,1.8095451721548383,2.1033986270003413,2.762469364430288,2150.3746384814795,0.998898739960261
