Subject,Horizon,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,0.9549219802767656,0.15899862891395597,1.3724877654421406
0028vx980suduypyca0fxp5s.,6,-0.4984360736755026,-0.005633232003008756,1.0070652469174557
0ai9f8an3qc4knt1s37yc2fq.,1,11.49349239546837,0.10422017694604181,0.4235933340872978
0ai9f8an3qc4knt1s37yc2fq.,6,2.3557683072648503,-0.04304040020134285,0.8842966259807118
0g5jqp6ehlqbdrbk5dvo7nia.,1,0.5065138863061467,0.2640247228330012,1.038289540460126
0g5jqp6ehlqbdrbk5dvo7nia.,6,-2.699816840901216,-0.5705434323906602,2.3211843400580774
0msrk1ubu9clngjuhkffgn7r.,1,0.2264199138320467,0.23059497317899616,0.933559310880878
0msrk1ubu9clngjuhkffgn7r.,6,-0.9038596925626146,-0.9018288612289259,2.0894745760990587
2k8a2pb4478h2ui0gtqtg96v.,1,1.7119680792409793,0.6267410004694012,1.8458443146189107
2k8a2pb4478h2ui0gtqtg96v.,6,0.4645065535760248,0.6967490307776311,2.2166370359694416
35plsw0y6gz896hmg0ksic2g.,1,-1.147841709877896,0.14467005157030274,1.196701124155652
35plsw0y6gz896hmg0ksic2g.,6,-2.204119648945353,-0.42256786817254194,1.4041839743813755
43qqrym6uu8zlp8w027xqvi9.,1,2.3792233297529197,-0.8085933389542486,3.723700687723436
43qqrym6uu8zlp8w027xqvi9.,6,-2.86244301169742,0.0021530278241987067,4.571579399920148
4mwhrciwfrfcb7oaq6f05kts.,1,1.8159613358746134,0.6623564477985701,1.0111809024777532
4mwhrciwfrfcb7oaq6f05kts.,6,3.3418411261990855,-1.6711212479429942,5.257026241615297
65fygro5lua1k2su3r3vcovk.,1,-0.3004251816931996,0.003457100677872817,1.3183285245214447
65fygro5lua1k2su3r3vcovk.,6,-2.1466988568224243,0.006422559187057761,2.4383507497007426
6srjyp630ga4an3l3yhme0q6.,1,3.917934214119585,0.7309151725313537,2.688924394394394
6srjyp630ga4an3l3yhme0q6.,6,-0.5710208786353629,-0.4402382073524847,1.2074539574412397
7pasnj6gr51yxw8t9snafte1.,1,0.854946008976113,-0.42188356001560834,0.7211571683281358
7pasnj6gr51yxw8t9snafte1.,6,0.468573138371807,0.005280094561559382,0.9194993550843614
85czin81wbg9hx9576a2yoqs.,1,0.6773610121277299,0.030060523860723998,0.8397502964984324
85czin81wbg9hx9576a2yoqs.,6,-4.015353712812462,-4.498524538005069e-05,20.0
8n4npywsyuit41ehrclgfoev.,1,-0.0015059270484288623,-0.12965681181174613,0.9649432971728571
8n4npywsyuit41ehrclgfoev.,6,-0.43661994533856957,0.3125675825318499,0.8025853325628414
8sihrciklc2hd768u0rqc4pl.,1,-0.23870590956018126,-0.244769396955227,0.9156611673527085
8sihrciklc2hd768u0rqc4pl.,6,-0.7537096056398265,0.36849018723889104,0.9947398373036003
aaz5rwa16q73iwrsrbshbk39.,1,0.35026509322694105,-0.005085128466101075,1.584055739776268
aaz5rwa16q73iwrsrbshbk39.,6,-0.37262014986531605,-0.5740559261245876,1.7654210982861718
ac4dwnk18da5prccl8bzfwsj.,1,0.23486012164784859,0.1217152275244835,0.8412618316821167
ac4dwnk18da5prccl8bzfwsj.,6,-0.2733012483091714,0.39703549161547036,0.46328738834598554
b9w6du5mfjy3anpj9b94wiun.,1,2.2524499491584047,-0.13913324136966632,1.1516664254154456
b9w6du5mfjy3anpj9b94wiun.,6,1.2794697472570262,0.6390898774084662,6.316455021082698
bg7au9jdadvby4tm2h8tgjyy.,1,0.8206889130158784,0.009748094201883129,1.8984320512222972
bg7au9jdadvby4tm2h8tgjyy.,6,-0.24082305204305604,0.3870428460331551,1.0407276239708954
btj5opoxoxgssw6apiuiwa81.,1,-16.955965469766696,-0.00290929298020564,20.0
btj5opoxoxgssw6apiuiwa81.,6,-14.67244814934246,4.377565060523233,7.963074374669985
cdqe7d4eopykg1rw25hg0smw.,1,1.1458897344355676,-0.12677635956079797,0.7856496055657549
cdqe7d4eopykg1rw25hg0smw.,6,0.28571132838073166,-0.6854111659752694,1.1341183304939522
d3ewk04q2r002e5a8fgqa80d.,1,-5.5200096008627995,-0.49425685183947343,5.044698944158191
d3ewk04q2r002e5a8fgqa80d.,6,-1.3601550350385172,-0.011877119130902232,1.048924435242092
ddaqntvjvd3eopf9aebk3jt9.,1,0.2472599068024276,-0.007285941633758706,1.0078631770399349
ddaqntvjvd3eopf9aebk3jt9.,6,-20.0,1.5948731791327098,12.231330491534107
dlnzn7l56v1fq7xku1tmor3h.,1,0.4950332648453358,-0.11738039929070179,0.9981904066566539
dlnzn7l56v1fq7xku1tmor3h.,6,-1.3123743267299797,0.2744178358545181,0.9621000847664569
drsoux247pv1q4j7husw8kva.,1,1.0990705087599386,-0.5709115929758845,1.0899097087186547
drsoux247pv1q4j7husw8kva.,6,-1.8674742921258025,0.484540373752152,2.05405706077767
e5vxndygfz6wu5qdzowriwlr.,1,0.930122985017,0.28121009533926355,0.8082013396035973
e5vxndygfz6wu5qdzowriwlr.,6,1.7156905145356898,0.030354678847888932,1.912278953531143
eeij9c18pv7o7agz89omgqk0.,1,-2.656887292138753,-0.2905250710686793,2.309391289193241
eeij9c18pv7o7agz89omgqk0.,6,-1.6131675379331685,0.13030321821223861,0.98623599989003
enh2br5ahtga43u4zd4gmaec.,1,0.49080374812247624,1.2770675677618142,2.0421590038210384
enh2br5ahtga43u4zd4gmaec.,6,-20.0,3.6396853622938785,3.292114876509713
