Subject,Horizon,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,2.658569179531353,3.7233246952697145,23.5250318794822
0028vx980suduypyca0fxp5s.,6,-8.69364562962354,0.9890839261432969,17.574261102311688
0ai9f8an3qc4knt1s37yc2fq.,1,15.157806602536697,2.391500035086146,8.844158586181583
0ai9f8an3qc4knt1s37yc2fq.,6,9.495539451204563,0.9598228353541222,14.568171809393895
0g5jqp6ehlqbdrbk5dvo7nia.,1,2.0908637185670473,6.330712036447269,17.936165394409084
0g5jqp6ehlqbdrbk5dvo7nia.,6,-46.731188842861194,-8.075445506279186,40.16877997990594
0msrk1ubu9clngjuhkffgn7r.,1,1.0665220963089017,2.4057664391128255,16.1796821526555
0msrk1ubu9clngjuhkffgn7r.,6,-15.62891235545779,-17.31994873119224,36.18411450020685
2k8a2pb4478h2ui0gtqtg96v.,1,2.8784355403663806,7.933481705170111,30.374128872778343
2k8a2pb4478h2ui0gtqtg96v.,6,0.5899563449146996,10.235275385882694,38.17870972180581
35plsw0y6gz896hmg0ksic2g.,1,-21.22528109300725,0.37970210950810623,22.027685507574592
35plsw0y6gz896hmg0ksic2g.,6,-36.1239483553575,-0.2989976963226186,23.32796627694366
43qqrym6uu8zlp8w027xqvi9.,1,1.1210230629920317,-11.557336469976375,63.87108691868304
43qqrym6uu8zlp8w027xqvi9.,6,-49.94885166621742,0.03582281010688012,79.76643462763278
4mwhrciwfrfcb7oaq6f05kts.,1,6.717182904061875,5.582888575315845,16.835005981771523
4mwhrciwfrfcb7oaq6f05kts.,6,0.8518859595988265,-29.058630588218964,85.35825523166412
65fygro5lua1k2su3r3vcovk.,1,-5.234289711771996,-0.004254319951439556,23.023834943249277
65fygro5lua1k2su3r3vcovk.,6,-37.438235758794775,0.013374176968789887,42.527856765966376
6srjyp630ga4an3l3yhme0q6.,1,3.3974544369812834,5.312674816958481,41.31228764166251
6srjyp630ga4an3l3yhme0q6.,6,-9.774277892615983,-10.838686282289201,20.665258328718647
7pasnj6gr51yxw8t9snafte1.,1,13.070817170135992,-7.606081848419771,10.995139376406376
7pasnj6gr51yxw8t9snafte1.,6,7.047823156046691,-0.7134511324600953,14.55008591233272
85czin81wbg9hx9576a2yoqs.,1,3.5587763953377145,-0.025578945104627646,14.557113469190503
85czin81wbg9hx9576a2yoqs.,6,-0.07257043502605218,-0.00018811198162358144,376.53420313659933
8n4npywsyuit41ehrclgfoev.,1,-0.026761695028558803,-1.159062708064532,16.81131577136142
8n4npywsyuit41ehrclgfoev.,6,-7.606839698258473,6.493204203560632,13.989117739543866
8sihrciklc2hd768u0rqc4pl.,1,-4.13893755069491,-2.242461071552399,15.880090110573555
8sihrciklc2hd768u0rqc4pl.,6,-13.515105595883405,0.7851819012496388,18.16323993254477
aaz5rwa16q73iwrsrbshbk39.,1,4.826005699812369,-1.7898579293924874,24.77722459865994
aaz5rwa16q73iwrsrbshbk39.,6,-6.150172649060403,-11.429851385907751,29.81027126812008
ac4dwnk18da5prccl8bzfwsj.,1,1.243451121771691,1.5263088665961988,14.70111304719529
ac4dwnk18da5prccl8bzfwsj.,6,-4.781640948108909,6.540252212074952,8.121660512044606
b9w6du5mfjy3anpj9b94wiun.,1,7.461821030769215,-5.527287003822513,17.658395850181723
b9w6du5mfjy3anpj9b94wiun.,6,0.22615034405831275,7.780045753338494,108.1858544943327
bg7au9jdadvby4tm2h8tgjyy.,1,14.323776449808156,-0.31603591557821326,33.12838001064801
bg7au9jdadvby4tm2h8tgjyy.,6,-4.2015411170258306,6.248199068360536,18.158043402816638
btj5opoxoxgssw6apiuiwa81.,1,-0.0064926464151859285,-2.264670651415336e-05,1114900721948.7053
btj5opoxoxgssw6apiuiwa81.,6,-274.3038780547288,0.10431054899093083,157.7560524054914
cdqe7d4eopykg1rw25hg0smw.,1,6.190679777669162,-0.41883947937806043,13.456216629455076
cdqe7d4eopykg1rw25hg0smw.,6,1.017332630230971,-10.361027719229469,19.716741583935644
d3ewk04q2r002e5a8fgqa80d.,1,-50.934220876552736,-0.04331988303247925,44.83525271440792
d3ewk04q2r002e5a8fgqa80d.,6,-24.07530855496301,0.1492605675949333,18.46409806679339
ddaqntvjvd3eopf9aebk3jt9.,1,3.1166102210985827,-0.729575141571001,17.42498786011297
ddaqntvjvd3eopf9aebk3jt9.,6,-8693153972.44862,-0.00441337002490013,5011715096.964424
dlnzn7l56v1fq7xku1tmor3h.,1,2.1848163650675247,-3.137795984446325,17.288432482743126
dlnzn7l56v1fq7xku1tmor3h.,6,-22.870757483347465,3.6245815445711633,16.775767080835575
drsoux247pv1q4j7husw8kva.,1,19.041162630576927,-12.08911974713433,18.87939300212164
drsoux247pv1q4j7husw8kva.,6,-32.241511825144684,6.164848507708446,35.452933692535574
e5vxndygfz6wu5qdzowriwlr.,1,4.922528702559462,0.9170434776305031,13.79544225041543
e5vxndygfz6wu5qdzowriwlr.,6,2.84894343443585,-2.915985511343257,31.190104148640472
eeij9c18pv7o7agz89omgqk0.,1,-44.74124766152534,-0.04315565918659177,38.98344320453936
eeij9c18pv7o7agz89omgqk0.,6,-29.71403037297454,5.013069339847159,18.583036464530807
enh2br5ahtga43u4zd4gmaec.,1,-6.771034518106794,5.10026150631799,12.218222896756362
enh2br5ahtga43u4zd4gmaec.,6,-4466386.957442197,0.00013148023039502167,201211.61027244778
epdm01s7p1uo8kn1m8b8o8wd.,1,-112.53376571090679,-27.30213563214956,130.85114207534824
epdm01s7p1uo8kn1m8b8o8wd.,6,-232.2340271392945,0.029101681980022366,105.17205862713048
f3q2zx571eimwnzib6iom1l2.,1,18.084076314161596,-1.3227982304095058,5.3569649565326545
f3q2zx571eimwnzib6iom1l2.,6,17.37268208167223,-1.317206331872335,6.002029941674003
gazrkiisx1dztglmbxx3mm03.,1,5.330904507896521,-4.81500340827493,17.88566522562649
gazrkiisx1dztglmbxx3mm03.,6,0.7105522328106624,-12.77823430795386,31.448444480003424
ggu9mpow2kj9dvkrrfx1rhzi.,1,0.02107838820201861,-0.7141806897330367,18.353062354265063
ggu9mpow2kj9dvkrrfx1rhzi.,6,0.04602780903149708,-8.060833627486472,21.06302014922342
gh7hi15ar4c156kg8nhch44s.,1,-15.796220440689034,-3.4805259663682513,13.344598259270759
gh7hi15ar4c156kg8nhch44s.,6,-134.088760548697,-0.03382111822794565,157.8168929878483
gj0hifjpaxenxu53xcjr7r77.,1,2.131842853888041,5.0375363805986035,18.2234588992885
gj0hifjpaxenxu53xcjr7r77.,6,-0.011040595878533871,-1.6805714348111247,29.68527221863899
gq8icyq41unwp4gudfk87tac.,1,-13.845462041525067,0.2716507575259966,31.89065083044704
gq8icyq41unwp4gudfk87tac.,6,-16.52160532304676,0.11128713535656777,23.75992824660108
gtouraixqbp4l3z0ffs8qj7e.,1,0.6559551801153385,-1.724006366586834,35.78761572078225
gtouraixqbp4l3z0ffs8qj7e.,6,-4.220815601127569,2.192231547960772,17.27885594741611
